,end,start,tweet_count
324,2018-12-03T00:00:00.000Z,2018-12-02T00:00:00.000Z,37228
325,2018-12-04T00:00:00.000Z,2018-12-03T00:00:00.000Z,51529
326,2018-12-05T00:00:00.000Z,2018-12-04T00:00:00.000Z,50342
327,2018-12-06T00:00:00.000Z,2018-12-05T00:00:00.000Z,47264
328,2018-12-07T00:00:00.000Z,2018-12-06T00:00:00.000Z,49169
329,2018-12-08T00:00:00.000Z,2018-12-07T00:00:00.000Z,54848
330,2018-12-09T00:00:00.000Z,2018-12-08T00:00:00.000Z,42642
331,2018-12-10T00:00:00.000Z,2018-12-09T00:00:00.000Z,41169
332,2018-12-11T00:00:00.000Z,2018-12-10T00:00:00.000Z,42607
333,2018-12-12T00:00:00.000Z,2018-12-11T00:00:00.000Z,45077
334,2018-12-13T00:00:00.000Z,2018-12-12T00:00:00.000Z,42923
335,2018-12-14T00:00:00.000Z,2018-12-13T00:00:00.000Z,47870
336,2018-12-15T00:00:00.000Z,2018-12-14T00:00:00.000Z,50457
337,2018-12-16T00:00:00.000Z,2018-12-15T00:00:00.000Z,37083
338,2018-12-17T00:00:00.000Z,2018-12-16T00:00:00.000Z,36481
339,2018-12-18T00:00:00.000Z,2018-12-17T00:00:00.000Z,52735
340,2018-12-19T00:00:00.000Z,2018-12-18T00:00:00.000Z,50639
341,2018-12-20T00:00:00.000Z,2018-12-19T00:00:00.000Z,50754
342,2018-12-21T00:00:00.000Z,2018-12-20T00:00:00.000Z,48116
343,2018-12-22T00:00:00.000Z,2018-12-21T00:00:00.000Z,44539
344,2018-12-23T00:00:00.000Z,2018-12-22T00:00:00.000Z,35909
345,2018-12-24T00:00:00.000Z,2018-12-23T00:00:00.000Z,34661
346,2018-12-25T00:00:00.000Z,2018-12-24T00:00:00.000Z,39365
347,2018-12-26T00:00:00.000Z,2018-12-25T00:00:00.000Z,33082
348,2018-12-28T00:00:00.000Z,2018-12-27T00:00:00.000Z,43205
349,2018-12-29T00:00:00.000Z,2018-12-28T00:00:00.000Z,43154
350,2018-12-30T00:00:00.000Z,2018-12-29T00:00:00.000Z,40305
351,2018-12-31T00:00:00.000Z,2018-12-30T00:00:00.000Z,35868
352,2019-01-01T00:00:00.000Z,2018-12-31T00:00:00.000Z,40302
353,2019-01-02T00:00:00.000Z,2019-01-01T00:00:00.000Z,33042
354,2019-01-03T00:00:00.000Z,2019-01-02T00:00:00.000Z,44032
355,2019-01-04T00:00:00.000Z,2019-01-03T00:00:00.000Z,58620
356,2019-01-05T00:00:00.000Z,2019-01-04T00:00:00.000Z,45037
